fpr,tpr,quality,coverage
0.4777777777777778,0.6502463054187192,0.1724685276409414,347
0.2688888888888889,0.43842364532019706,0.16953475643130816,210
0.6022222222222222,0.7635467980295566,0.1613245758073344,426
0.1688888888888889,0.3251231527093596,0.1562342638204707,142
0.3711111111111111,0.5270935960591133,0.1559824849480022,274
0.6555555555555556,0.8078817733990148,0.15232621784345923,459
0.3288888888888889,0.4729064039408867,0.14401751505199778,244
0.23555555555555555,0.3793103448275862,0.14375478927203064,183
0.5511111111111111,0.6945812807881774,0.14347016967706627,389
0.44,0.5714285714285714,0.1314285714285714,314
0.13555555555555557,0.2660098522167488,0.1304542966611932,115
0.05555555555555555,0.1625615763546798,0.10700602079912425,58
0.8377777777777777,0.9408866995073891,0.10310892172961139,568
0.9066666666666666,0.9852216748768473,0.07855500821018069,608
0.9822222222222222,1.0,0.01777777777777778,645
