algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Hull Removal,hull_removal,3,3854,3854,128,128,0.8889799841682686,293.34299516908214,6696,0.984064608541596,3.987104177474976,0.984045761242414,200,wisconsin
Hull Removal,hull_removal,4,6198,6198,200,200,0.891232236420521,281.35721295387634,12894,0.9843708771533038,8.088233232498169,0.984045761242414,200,wisconsin
Closest to Hull (n=10),closest_to_hull,1,103,103,20,20,0.8143446794074409,281.45,103,0.9616551698141655,0.0082719326019287,0.9832588865015645,1279,wisconsin
Closest to Hull (n=10),closest_to_hull,2,1434,1434,49,49,0.8732142184025029,326.0612244897959,1537,0.9818029326397528,1.9198055267333984,0.9832588865015645,1279,wisconsin
Closest to Hull (n=10),closest_to_hull,3,3306,3306,679,679,0.8889799841682686,291.8114874815906,4843,0.984064608541596,4.6826159954071045,0.9832588865015645,1279,wisconsin
Closest to Hull (n=10),closest_to_hull,4,5652,5652,1279,1279,0.891232236420521,218.94761532447225,10495,0.98410230313996,8.522685527801514,0.9832588865015645,1279,wisconsin
Furthest from Diagonal (n=10),furthest_diagonal,1,103,103,20,20,0.8143446794074409,321.6,103,0.9616551698141655,0.0070424079895019,0.9832588865015645,1213,wisconsin
Furthest from Diagonal (n=10),furthest_diagonal,2,1535,1535,56,56,0.8732142184025029,319.30357142857144,1638,0.9811197180444042,1.977369785308838,0.9832588865015645,1213,wisconsin
Furthest from Diagonal (n=10),furthest_diagonal,3,3791,3791,685,685,0.8889799841682686,291.5591240875912,5429,0.984064608541596,4.344682931900024,0.9832588865015645,1213,wisconsin
Furthest from Diagonal (n=10),furthest_diagonal,4,5680,5680,1213,1213,0.891232236420521,223.3734542456719,11109,0.98410230313996,7.990499973297119,0.9832588865015645,1213,wisconsin
Below Hull Threshold (1.0%),below_hull,1,103,103,22,22,0.8143446794074409,332.04545454545456,103,0.9616551698141655,0.0083017349243164,0.9838761355497756,29,wisconsin
Below Hull Threshold (1.0%),below_hull,2,1689,1689,6,6,0.8732142184025029,312.3333333333333,1792,0.9790842097327452,2.770707368850708,0.9838761355497756,29,wisconsin
Below Hull Threshold (1.0%),below_hull,3,405,405,7,7,0.8889799841682686,297.0,2197,0.982594519205398,0.5884766578674316,0.9838761355497756,29,wisconsin
Below Hull Threshold (1.0%),below_hull,4,406,406,29,29,0.891232236420521,263.17241379310343,2603,0.9838761355497756,0.5125374794006348,0.9838761355497756,29,wisconsin
Above Diagonal Threshold (10.0%),above_diagonal,1,103,103,19,19,0.8143446794074409,269.10526315789474,103,0.9616551698141655,0.0081763267517089,0.9835227486901128,8,wisconsin
Above Diagonal Threshold (10.0%),above_diagonal,2,1388,1388,6,6,0.8732142184025029,302.1666666666667,1491,0.9779863545553922,2.3914554119110107,0.9835227486901128,8,wisconsin
Above Diagonal Threshold (10.0%),above_diagonal,3,398,398,8,8,0.8889799841682686,286.375,1889,0.9829667533642428,0.7477014064788818,0.9835227486901128,8,wisconsin
Above Diagonal Threshold (10.0%),above_diagonal,4,457,457,8,8,0.891232236420521,285.5,2346,0.9835227486901128,0.8484859466552734,0.9835227486901128,8,wisconsin
Pure ROC,pure_roc,0,1,0,1,1,0.0,515345.0,0,0.5,,0.6280430745899233,8,YPMSD
Pure ROC,pure_roc,1,1,720,5,5,0.2129366564936597,309207.0,720,0.6057347987141956,113.59524273872375,0.6280430745899233,8,YPMSD
Pure ROC,pure_roc,2,5,3430,13,13,0.2129414886954524,226333.46153846156,4150,0.624570177444592,506.3210875988007,0.6280430745899233,8,YPMSD
Pure ROC,pure_roc,3,13,8106,10,10,0.2129463208972452,224656.1,12256,0.6322697809408122,1454.9566431045532,0.6280430745899233,8,YPMSD
Pure ROC,pure_roc,4,10,6076,8,8,0.2129511530990379,229848.0,18332,0.6354517070708618,721.9652426242828,0.6280430745899233,8,YPMSD
Hull Removal,hull_removal,1,720,720,283,283,0.2129366564936597,341438.79151943466,720,0.6057347987141956,0.0182278156280517,0.6355649691019554,594,YPMSD
Hull Removal,hull_removal,2,10000,10000,188,188,0.2129414886954524,421720.420212766,10720,0.6353286322387018,1123.308106660843,0.6355649691019554,594,YPMSD
Hull Removal,hull_removal,3,10000,10000,617,617,0.2129463208972452,300148.0226904376,20720,0.6355624427801657,1113.9990808963776,0.6355649691019554,594,YPMSD
Hull Removal,hull_removal,4,10000,10000,594,594,0.2129511530990379,305791.3569023569,30720,0.635564494045126,1097.4403150081637,0.6355649691019554,594,YPMSD
Closest to Hull (n=10),closest_to_hull,1,720,720,15,15,0.2129366564936597,412275.5333333333,720,0.6057347987141956,0.009737491607666,0.6289492294549712,437,YPMSD
Closest to Hull (n=10),closest_to_hull,2,10000,10000,140,140,0.2129414886954524,443289.9428571428,10720,0.6355606225176406,1484.8621170520782,0.6289492294549712,437,YPMSD
Closest to Hull (n=10),closest_to_hull,3,10000,10000,450,450,0.2129463208972452,252551.64444444445,20720,0.6289469603570489,1279.467934370041,0.6289492294549712,437,YPMSD
Closest to Hull (n=10),closest_to_hull,4,10000,10000,437,437,0.2129511530990379,252605.47368421053,30720,0.6289492294549712,1294.8866920471191,0.6289492294549712,437,YPMSD
Furthest from Diagonal (n=10),furthest_diagonal,1,720,720,15,15,0.2129366564936597,395097.4666666667,720,0.6057347987141956,0.0243585109710693,0.6289492294549712,437,YPMSD
Furthest from Diagonal (n=10),furthest_diagonal,2,10000,10000,139,139,0.2129414886954524,442771.582733813,10720,0.6355606225176406,1345.829520702362,0.6289492294549712,437,YPMSD
Furthest from Diagonal (n=10),furthest_diagonal,3,10000,10000,450,450,0.2129463208972452,252551.64444444445,20720,0.6289469603570489,1031.6922352313995,0.6289492294549712,437,YPMSD
Furthest from Diagonal (n=10),furthest_diagonal,4,10000,10000,437,437,0.2129511530990379,252605.47368421053,30720,0.6289492294549712,1029.484090089798,0.6289492294549712,437,YPMSD
Below Hull Threshold (1.0%),below_hull,1,720,720,110,110,0.2129366564936597,498946.6818181818,720,0.6057347987141956,0.0101683139801025,0.6354517070708618,8,YPMSD
Below Hull Threshold (1.0%),below_hull,2,10000,10000,7,7,0.2129414886954524,240412.85714285716,10720,0.6355606225176406,1136.5985913276672,0.6354517070708618,8,YPMSD
Below Hull Threshold (1.0%),below_hull,3,4209,4209,8,8,0.2129463208972452,229164.0,14929,0.6354714727347714,507.0193176269531,0.6354517070708618,8,YPMSD
Below Hull Threshold (1.0%),below_hull,4,4802,4802,8,8,0.2129511530990379,229848.0,19731,0.6354517070708618,549.6378936767578,0.6354517070708618,8,YPMSD
Above Diagonal Threshold (10.0%),above_diagonal,1,720,720,103,103,0.2129366564936597,497832.3689320389,720,0.6057347987141956,0.0103342533111572,0.6354517070708618,8,YPMSD
Above Diagonal Threshold (10.0%),above_diagonal,2,10000,10000,7,7,0.2129414886954524,240412.85714285716,10720,0.6355606225176406,1243.2532913684845,0.6354517070708618,8,YPMSD
Above Diagonal Threshold (10.0%),above_diagonal,3,4209,4209,8,8,0.2129463208972452,229164.0,14929,0.6354714727347714,490.3896017074585,0.6354517070708618,8,YPMSD
Above Diagonal Threshold (10.0%),above_diagonal,4,4801,4801,8,8,0.2129511530990379,229848.0,19730,0.6354517070708618,1227.1588213443756,0.6354517070708618,8,YPMSD
