FPR,TPR,Coverage,Quality,Conditions
0.08333333333333333,0.5646551724137931,195,0.8110632183908045,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 83311.0
0.0859375,0.5689655172413793,198,0.8105334051724138,age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0
0.08463541666666667,0.5646551724137931,196,0.8101517600574712,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND education-num >= 10.0
0.08203125,0.5474137931034483,190,0.8068022629310345,marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0 AND fnlwgt >= 84154.0
0.08333333333333333,0.5474137931034483,191,0.8058908045977011,fnlwgt >= 83082.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0
0.08333333333333333,0.5474137931034483,191,0.8058908045977011,marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND education-num >= 10.0 AND age >= 30.0
0.10807291666666667,0.603448275862069,223,0.805383441091954,age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0
0.10807291666666667,0.603448275862069,223,0.805383441091954,education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0
0.10677083333333333,0.5862068965517241,218,0.8011224856321839,education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND age >= 30.0
0.1015625,0.5732758620689655,211,0.8008890086206897,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND education-num >= 10.0
0.10546875,0.5818965517241379,216,0.8007408405172413,age >= 24.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0 AND education-num >= 10.0
0.09895833333333333,0.5646551724137931,207,0.8001257183908045,hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0
0.09895833333333333,0.5646551724137931,207,0.8001257183908045,hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 84154.0
0.10546875,0.5775862068965517,215,0.7994477370689654,age >= 24.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 85812.0
0.09895833333333333,0.5603448275862069,206,0.7988326149425287,education-num >= 10.0 AND hours-per-week >= 30.0 AND marital-status = 'Married-civ-spouse' AND age >= 30.0
0.09895833333333333,0.5603448275862069,206,0.7988326149425287,education-num >= 10.0 AND hours-per-week >= 30.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0
0.09895833333333333,0.5603448275862069,206,0.7988326149425287,hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85812.0 AND education-num >= 10.0
0.09635416666666667,0.5517241379310345,202,0.7980693247126437,age <= 54.0 AND marital-status = 'Married-civ-spouse' AND age >= 29.0 AND education-num >= 10.0
0.109375,0.5818965517241379,219,0.7980064655172413,education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND fnlwgt >= 84154.0
0.10026041666666667,0.5603448275862069,207,0.7979211566091953,age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0
0.11067708333333333,0.5818965517241379,220,0.7970950071839079,education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND education-num >= 10.0
0.10416666666666667,0.5646551724137931,211,0.7964798850574712,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND hours-per-week <= 60.0
0.10416666666666667,0.5603448275862069,210,0.7951867816091953,age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND education-num >= 10.0
0.10416666666666667,0.5603448275862069,210,0.7951867816091953,education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND education-num >= 10.0
0.18359375,0.7327586206896551,311,0.7913119612068965,education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0
0.12630208333333334,0.5905172413793104,234,0.7887437140804597,age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND education-num >= 10.0
0.18880208333333334,0.7327586206896551,315,0.7876661278735632,education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0
0.18229166666666666,0.7112068965517241,305,0.7857579022988506,age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 81973.0
0.12760416666666666,0.5818965517241379,233,0.7852460488505747,age >= 24.0 AND marital-status = 'Married-civ-spouse' AND education-num >= 10.0 AND hours-per-week <= 60.0
0.18098958333333334,0.7025862068965517,302,0.7840831537356321,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND hours-per-week >= 38.0
0.18359375,0.7068965517241379,305,0.7835533405172412,age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 38.0
0.22265625,0.7974137931034483,356,0.7833647629310344,education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse'
0.17838541666666666,0.6939655172413793,298,0.7833198635057471,education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND age >= 31.0
