method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
remove_hull_points,mushroom,1,,,,,,,,0.002962350845336914,220.0,3.0,3.0,4.0,0.9769493974219057,0.9044671951281085,0.0724822022937972,0.4769493974219057,0.40446719512810847,0.0724822022937972,0.9039836567926456,0.6916811987090109,,,,,
remove_hull_points,mushroom,2,,,,,,,,0.010332107543945312,4210.0,4.0,4.0,4.0,0.9948733284914769,0.9948733284914769,0.0,0.49487332849147686,0.49487332849147686,0.0,0.9138563832886044,0.9138563832886044,,,,,
remove_hull_points,mushroom,3,,,,,,,,0.016087770462036133,8010.0,4.0,4.0,4.0,0.9949432376484113,0.9949432376484113,0.0,0.4949432376484113,0.4949432376484113,0.0,0.9158992842079099,0.9158992842079099,,,,,
remove_hull_points,mushroom,4,,,,,,,,0.016413450241088867,10161.0,4.0,4.0,4.0,0.9952927834330834,0.9952578288546161,3.495457846725003e-05,0.49529278343308336,0.49525782885461617,3.495457846719452e-05,0.9169207346675625,0.9158992842079099,,,,,
closest_points_to_hull,mushroom,1,n_points,10.0,,,,,,0.002775430679321289,220.0,,,2.0,0.9769493974219057,0.8476271666983847,0.129322230723521,0.4769493974219057,0.34762716669838467,0.129322230723521,0.9039836567926456,0.6916811987090109,0.0,0.0,,,
closest_points_to_hull,mushroom,1,n_points,20.0,,,,,,0.0022847652435302734,220.0,,,3.0,0.9769493974219057,0.8509866900732881,0.1259627073486176,0.4769493974219057,0.3509866900732881,0.1259627073486176,0.9039836567926456,0.6916811987090109,0.0,0.0,,,
closest_points_to_hull,mushroom,1,n_points,50.0,,,,,,0.0012173652648925781,220.0,,,4.0,0.9769493974219057,0.9044671951281085,0.0724822022937972,0.4769493974219057,0.40446719512810847,0.0724822022937972,0.9039836567926456,0.6916811987090109,0.0,0.0,,,
closest_points_to_hull,mushroom,1,n_points,100.0,,,,,,0.001142740249633789,220.0,,,4.0,0.9769493974219057,0.9044671951281085,0.0724822022937972,0.4769493974219057,0.40446719512810847,0.0724822022937972,0.9039836567926456,0.6916811987090109,0.0,0.0,,,
closest_points_to_hull,mushroom,2,n_points,10.0,,,,,,0.0074503421783447266,4210.0,,,3.0,0.9948733284914769,0.9845384247913406,0.010334903700136344,0.49487332849147686,0.4845384247913407,0.010334903700136178,0.9138563832886044,0.9138563832886044,0.0,0.0,,,
closest_points_to_hull,mushroom,2,n_points,20.0,,,,,,0.006065845489501953,4210.0,,,4.0,0.9948733284914769,0.9948733284914769,0.0,0.49487332849147686,0.49487332849147686,0.0,0.9138563832886044,0.9138563832886044,0.0,0.0,,,
closest_points_to_hull,mushroom,2,n_points,50.0,,,,,,0.008224248886108398,4210.0,,,4.0,0.9948733284914769,0.9948733284914769,0.0,0.49487332849147686,0.49487332849147686,0.0,0.9138563832886044,0.9138563832886044,0.0,0.0,,,
closest_points_to_hull,mushroom,2,n_points,100.0,,,,,,0.010672807693481445,4210.0,,,4.0,0.9948733284914769,0.9948733284914769,0.0,0.49487332849147686,0.49487332849147686,0.0,0.9138563832886044,0.9138563832886044,0.0,0.0,,,
