rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
1,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A8 >= 0.0,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,ROC_HULL
2,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A11 >= 0.0,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
3,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A11 <= 67,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
4,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A4 != l,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
5,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A5 != gg,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
6,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A7 != o,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
7,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A13 != p,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
8,A15 != 5.0 AND A3 != 2.835 AND A8 >= 0.0 AND A9 == t,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
9,A15 != 5.0 AND A3 != 2.835 AND A8 >= 0.0 AND A9 != f,346,0.5298621745788668,0.9391891891891891,0.19047619047619047,0.8034682080924855,0.7487129987129987,HIGH_QUALITY
10,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A8 != 0.165,345,0.5283307810107197,0.9358108108108109,0.19047619047619047,0.8028985507246377,0.7453346203346204,HIGH_QUALITY
11,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A11 != 67,345,0.5283307810107197,0.9358108108108109,0.19047619047619047,0.8028985507246377,0.7453346203346204,HIGH_QUALITY
12,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A7 != n,345,0.5283307810107197,0.9358108108108109,0.19047619047619047,0.8028985507246377,0.7453346203346204,HIGH_QUALITY
13,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A6 != ff,334,0.5114854517611026,0.918918918918919,0.17366946778711484,0.8143712574850299,0.7452494511318042,ROC_HULL
14,A9 == t AND A15 != 5.0 AND A3 >= 0.0 AND A13 != s,327,0.5007656967840735,0.9054054054054054,0.16526610644257703,0.8195718654434251,0.7401392989628284,ROC_HULL
15,A9 == t AND A15 != 5.0 AND A11 != 0.0 AND A3 != 1.04,216,0.33078101071975496,0.6756756756756757,0.04481792717086835,0.9259259259259259,0.6308577485048074,ROC_HULL
16,A9 == t AND A15 != 5.0 AND A11 != 0.0 AND A6 != k,211,0.3231240428790199,0.6621621621621622,0.04201680672268908,0.9289099526066351,0.6201453554394731,ROC_HULL
17,A9 == t AND A15 >= 400.0 AND A8 != 1.0 AND A3 != 0.0,122,0.18683001531393567,0.40540540540540543,0.0056022408963585435,0.9836065573770492,0.3998031645090469,ROC_HULL
18,A9 == t AND A15 >= 400.0 AND A8 != 1.0 AND A7 != bb,110,0.16845329249617153,0.36824324324324326,0.0028011204481792717,0.990909090909091,0.365442122795064,ROC_HULL
19,A9 == t AND A15 >= 400.0 AND A11 >= 3.0 AND A6 != q,70,0.10719754977029096,0.23648648648648649,0.0,1.0,0.23648648648648649,ROC_HULL
20,A15 != 5.0 AND A3 != 2.835 AND A8 >= 0.0 AND A11 >= 0.0,644,0.9862174578866769,1.0,0.9747899159663865,0.45962732919254656,0.025210084033613467,ROC_HULL
