fpr,tpr,quality,coverage
0.4711111111111111,0.6502463054187192,0.1791351943076081,344
0.26222222222222225,0.43842364532019706,0.17620142309797482,207
0.26222222222222225,0.43842364532019706,0.17620142309797482,207
0.5977777777777777,0.7635467980295566,0.16576902025177886,424
0.64,0.7980295566502463,0.15802955665024632,450
0.6511111111111111,0.8078817733990148,0.1567706622879037,457
0.6533333333333333,0.8078817733990148,0.15454844006568147,458
0.6533333333333333,0.8078817733990148,0.15454844006568147,458
0.12666666666666668,0.2561576354679803,0.12949096880131364,109
0.12222222222222222,0.2512315270935961,0.12900930487137385,106
0.12222222222222222,0.2512315270935961,0.12900930487137385,106
0.08,0.1921182266009852,0.11211822660098521,75
0.08,0.1921182266009852,0.11211822660098521,75
0.08,0.1921182266009852,0.11211822660098521,75
0.8355555555555556,0.9408866995073891,0.10533114395183352,567
0.05333333333333334,0.15763546798029557,0.10430213464696222,56
0.9044444444444445,0.9852216748768473,0.08077723043240281,607
0.98,1.0,0.020000000000000018,644
