depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,26,6,0,0,0,0.4309906140450073,0.0,0.0,0.0,0.9309906140450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1182,9,4,0,0,0.48189716913566283,0.44982377775264815,0.0,0.0,0.9818971691356628,0.949823777752648,0.8379744807569075,0.0,0.0,0.8732142184025029,0.6822418652962585,0.8732142184025029,0.8706368502393607,0.0,0.9497907949790795,0.07657657657657657,0.9497907949790795,0.07657657657657657
3,999,11,2,0,0,0.48406460854159594,0.4555439330543933,0.0,0.0,0.9840646085415959,0.9555439330543933,0.905292321610313,0.0,0.0,0.8889799841682686,0.7260613599525734,0.8889799841682686,0.8868926457838592,0.0,0.9497907949790795,0.060810810810810814,0.9497907949790795,0.060810810810810814
4,1605,11,2,0,0,0.48437087715330396,0.4567548720268385,0.0,0.0,0.9843708771533038,0.9567548720268385,0.9046138188397601,0.0,0.0,0.891232236420521,0.7248611296728451,0.891232236420521,0.8902710241622376,0.0,0.9497907949790795,0.05855855855855856,0.9497907949790795,0.05855855855855856
