depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,51,7,5,44,7,0.46984432130875636,0.4580600474951939,-5.551115123125783e-17,-1.1814796670656979e-14,0.9698443213087564,0.9580600474951939,0.8929049342229259,0.0,0.0,0.8143446794074408,0.6904075324577416,0.8143446794074408,0.5928813750989483,0.0,0.831081081081081,0.016736401673640166,0.831081081081081,0.016736401673640166
2,1270,7,6,1263,7,0.48527083568924567,0.48512948094538044,0.0,0.0,0.9852708356892458,0.9851294809453804,0.8884805307399448,0.0,0.0,0.8548852199479814,0.7481045001965503,0.8548852199479814,0.7311652656840941,0.0,0.8716216216216216,0.016736401673640166,0.8716216216216216,0.016736401673640166
3,1002,7,7,995,7,0.48904971917524215,0.48904971917524215,-5.551115123125783e-17,-1.1350819570017258e-14,0.9890497191752422,0.9890497191752422,0.8813515398243432,0.0,0.0,0.8854366919220475,0.7798689304965455,0.8854366919220475,0.7798689304965455,0.0,0.9481981981981982,0.06276150627615062,0.9481981981981982,0.06276150627615062
4,1410,8,8,1402,8,0.49050567303705384,0.49050567303705384,5.551115123125783e-17,1.1317127259212026e-14,0.9905056730370538,0.9905056730370538,0.8974000150778394,0.0,0.0,0.8973481850050887,0.8027217855931245,0.8973481850050887,0.8027217855931246,0.0,0.9391891891891891,0.04184100418410042,0.9391891891891891,0.04184100418410042
