dataset,algorithm,alpha,adaptive_width,auc_approx,best_quality,total_candidates,search_time,target_column,data_size
adult,Pure ROC,,19,0.7831750628591954,0.5493444683908046,1349,4.8192503452301025,target,1000
mushroom,Pure ROC,,20,0.3067361356548352,0.9138563832886044,4136,12.478702068328857,poisonous,8124
ionosphere,Pure ROC,,10,0.7409171075837744,0.5419047619047619,4755,8.88819146156311,Attribute35,351
tic-tac-toe,Pure ROC,,6,0.1862417722006236,0.3418915277724316,972,4.796465158462524,class,958
wisconsin,Pure ROC,,9,0.9711129029335557,0.8716048487923318,843,4.270899057388306,Class,699
