depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,813,4,4,809,4,0.20122743369644708,0.20122743369644708,0.0,0.0,0.7012274336964471,0.7012274336964471,0.6523442010854921,0.0,0.0,0.3418915277724316,0.2611171523153316,0.3418915277724316,0.2611171523153316,0.0,0.5783132530120482,0.2364217252396166,0.5783132530120482,0.2364217252396166
2,7707,3,3,7704,3,0.2140575079872204,0.2140575079872204,0.0,0.0,0.7140575079872205,0.7140575079872205,0.6711695022903115,0.0,0.0,0.3418915277724316,0.28877170021940796,0.3418915277724316,0.28877170021940796,0.0,0.5783132530120482,0.2364217252396166,0.5783132530120482,0.2364217252396166
3,9068,3,3,9065,3,0.2140575079872204,0.2140575079872204,0.0,0.0,0.7140575079872205,0.7140575079872205,0.6922081296431732,0.0,0.0,0.3418915277724316,0.28877170021940796,0.3418915277724316,0.28877170021940796,0.0,0.5783132530120482,0.2364217252396166,0.5783132530120482,0.2364217252396166
4,10404,3,3,10401,3,0.2140575079872204,0.2140575079872204,0.0,0.0,0.7140575079872205,0.7140575079872205,0.6928216059124677,0.0,0.0,0.3418915277724316,0.28877170021940796,0.3418915277724316,0.28877170021940796,0.0,0.5783132530120482,0.2364217252396166,0.5783132530120482,0.2364217252396166
