Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
age >= 24.0 AND marital-status = 'Married-civ-spouse',432,0.8405172413793104,0.5319234728813171,0.8405172413793104,0.30859375,0.4513888888888889,0.8405172413793104,195,237,531,37
marital-status = 'Married-civ-spouse',443,0.8405172413793104,0.5176005959510803,0.8405172413793104,0.3229166666666667,0.4401805869074492,0.8405172413793104,195,248,520,37
age >= 29.0 AND marital-status = 'Married-civ-spouse',396,0.8232758620689655,0.5563488006591797,0.8232758620689655,0.2669270833333333,0.4823232323232323,0.8232758620689655,191,205,563,41
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse',414,0.8189655172413793,0.5272988677024841,0.8189655172413793,0.2916666666666667,0.45893719806763283,0.8189655172413793,190,224,544,42
education-num >= 9.0 AND marital-status = 'Married-civ-spouse',398,0.8146551724137931,0.542519748210907,0.8146551724137931,0.2721354166666667,0.4748743718592965,0.8146551724137931,189,209,559,43
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse',356,0.7974137931034483,0.5747575163841248,0.7974137931034483,0.22265625,0.5196629213483146,0.7974137931034483,185,171,597,47
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse',365,0.7844827586206896,0.5462015271186829,0.7844827586206896,0.23828125,0.4986301369863014,0.7844827586206896,182,183,585,50
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0,346,0.7543103448275862,0.5316541194915771,0.7543103448275862,0.22265625,0.5057803468208093,0.7543103448275862,175,171,597,57
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0,349,0.7543103448275862,0.5277478694915771,0.7543103448275862,0.2265625,0.501432664756447,0.7543103448275862,175,174,594,57
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0,341,0.75,0.5325520634651184,0.75,0.21744791666666666,0.5102639296187683,0.75,174,167,601,58
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND capital-loss <= 0.0,372,0.75,0.4921875,0.75,0.2578125,0.46774193548387094,0.75,174,198,570,58
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0,311,0.7327586206896551,0.549164891242981,0.7327586206896551,0.18359375,0.5466237942122186,0.7327586206896551,170,141,627,62
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0,315,0.7327586206896551,0.5439565181732178,0.7327586206896551,0.18880208333333334,0.5396825396825397,0.7327586206896551,170,145,623,62
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',348,0.7327586206896551,0.5009877681732178,0.7327586206896551,0.23177083333333334,0.4885057471264368,0.7327586206896551,170,178,590,62
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week <= 60.0,333,0.728448275862069,0.5149065852165222,0.728448275862069,0.21354166666666666,0.5075075075075075,0.728448275862069,169,164,604,63
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND capital-loss <= 0.0,335,0.728448275862069,0.5123024582862854,0.728448275862069,0.21614583333333334,0.5044776119402985,0.728448275862069,169,166,602,63
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',348,0.728448275862069,0.4953753650188446,0.728448275862069,0.23307291666666666,0.48563218390804597,0.728448275862069,169,179,589,63
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND native-country = 'United-States',348,0.728448275862069,0.4953753650188446,0.728448275862069,0.23307291666666666,0.48563218390804597,0.728448275862069,169,179,589,63
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND education-num <= 14.0,339,0.7241379310344828,0.5014816522598267,0.7241379310344828,0.22265625,0.49557522123893805,0.7241379310344828,168,171,597,64
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND hours-per-week <= 60.0,357,0.7241379310344828,0.47804418206214905,0.7241379310344828,0.24609375,0.47058823529411764,0.7241379310344828,168,189,579,64
age >= 24.0 AND relationship = 'Husband',369,0.7241379310344828,0.46241918206214905,0.7241379310344828,0.26171875,0.45528455284552843,0.7241379310344828,168,201,567,64
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male' AND relationship = 'Husband',369,0.7241379310344828,0.46241918206214905,0.7241379310344828,0.26171875,0.45528455284552843,0.7241379310344828,168,201,567,64
relationship = 'Husband',376,0.7241379310344828,0.45330458879470825,0.7241379310344828,0.2708333333333333,0.44680851063829785,0.7241379310344828,168,208,560,64
hours-per-week >= 26.0 AND relationship = 'Husband',356,0.7198275862068966,0.4737338423728943,0.7198275862068966,0.24609375,0.4691011235955056,0.7198275862068966,167,189,579,65
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male' AND relationship = 'Husband',356,0.7198275862068966,0.4737338423728943,0.7198275862068966,0.24609375,0.4691011235955056,0.7198275862068966,167,189,579,65
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85815.0,319,0.7155172413793104,0.5162984728813171,0.7155172413793104,0.19921875,0.5203761755485894,0.7155172413793104,166,153,615,66
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND hours-per-week >= 40.0,326,0.7155172413793104,0.5071839094161987,0.7155172413793104,0.20833333333333334,0.50920245398773,0.7155172413793104,166,160,608,66
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND fnlwgt >= 84154.0,330,0.7155172413793104,0.5019755959510803,0.7155172413793104,0.21354166666666666,0.503030303030303,0.7155172413793104,166,164,604,66
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND capital-loss <= 0.0,342,0.7155172413793104,0.48635056614875793,0.7155172413793104,0.22916666666666666,0.4853801169590643,0.7155172413793104,166,176,592,66
age >= 29.0 AND relationship = 'Husband',343,0.7155172413793104,0.4850485026836395,0.7155172413793104,0.23046875,0.4839650145772595,0.7155172413793104,166,177,591,66
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND relationship = 'Husband',343,0.7155172413793104,0.4850485026836395,0.7155172413793104,0.23046875,0.4839650145772595,0.7155172413793104,166,177,591,66
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male' AND relationship = 'Husband',343,0.7155172413793104,0.4850485026836395,0.7155172413793104,0.23046875,0.4839650145772595,0.7155172413793104,166,177,591,66
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt <= 285854.0,347,0.7155172413793104,0.47984015941619873,0.7155172413793104,0.23567708333333334,0.4783861671469741,0.7155172413793104,166,181,587,66
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 81973.0,305,0.7112068965517241,0.5289152264595032,0.7112068965517241,0.18229166666666666,0.5409836065573771,0.7112068965517241,165,140,628,67
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',313,0.7112068965517241,0.5184985399246216,0.7112068965517241,0.19270833333333334,0.5271565495207667,0.7112068965517241,165,148,620,67
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND native-country = 'United-States',319,0.7112068965517241,0.5106860399246216,0.7112068965517241,0.20052083333333334,0.5172413793103449,0.7112068965517241,165,154,614,67
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND age <= 58.0,331,0.7112068965517241,0.49506106972694397,0.7112068965517241,0.21614583333333334,0.4984894259818731,0.7112068965517241,165,166,602,67
age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 38.0,305,0.7068965517241379,0.5233027935028076,0.7068965517241379,0.18359375,0.5377049180327869,0.7068965517241379,164,141,627,68
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0,322,0.7068965517241379,0.501167356967926,0.7068965517241379,0.20572916666666666,0.5093167701863354,0.7068965517241379,164,158,610,68
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',324,0.7068965517241379,0.4985632300376892,0.7068965517241379,0.20833333333333334,0.5061728395061729,0.7068965517241379,164,160,608,68
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND hours-per-week <= 60.0,325,0.7068965517241379,0.4972611367702484,0.7068965517241379,0.20963541666666666,0.5046153846153846,0.7068965517241379,164,161,607,68
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0 AND fnlwgt >= 87418.0,336,0.7068965517241379,0.4829382300376892,0.7068965517241379,0.22395833333333334,0.4880952380952381,0.7068965517241379,164,172,596,68
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND capital-loss <= 0.0,355,0.7068965517241379,0.4581986367702484,0.7068965517241379,0.24869791666666666,0.4619718309859155,0.7068965517241379,164,191,577,68
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0 AND capital-loss <= 0.0,356,0.7068965517241379,0.4568965435028076,0.7068965517241379,0.25,0.4606741573033708,0.7068965517241379,164,192,576,68
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND hours-per-week >= 38.0,302,0.7025862068965517,0.5215966105461121,0.7025862068965517,0.18098958333333334,0.5397350993377483,0.7025862068965517,163,139,629,69
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0 AND age >= 30.0,304,0.7025862068965517,0.5189924836158752,0.7025862068965517,0.18359375,0.5361842105263158,0.7025862068965517,163,141,627,69
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND sex = 'Male',311,0.7025862068965517,0.5098778605461121,0.7025862068965517,0.19270833333333334,0.5241157556270096,0.7025862068965517,163,148,620,69
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 84154.0 AND hours-per-week >= 40.0,327,0.7025862068965517,0.48904454708099365,0.7025862068965517,0.21354166666666666,0.4984709480122324,0.7025862068965517,163,164,604,69
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND capital-loss <= 0.0,327,0.7025862068965517,0.48904454708099365,0.7025862068965517,0.21354166666666666,0.4984709480122324,0.7025862068965517,163,164,604,69
age >= 24.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND fnlwgt >= 82465.0,328,0.7025862068965517,0.48774245381355286,0.7025862068965517,0.21484375,0.4969512195121951,0.7025862068965517,163,165,603,69
