depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
2,1255,9,2,0,0,0.4818406272381167,0.35676994986618427,0.0,0.0,0.9818406272381167,0.856769949866184,0.8855403520675488,0.0,0.0,0.8732142184025029,0.6766630647383785,0.7129085152097704,0.3575803837310113,0.0,0.9497907949790795,0.07657657657657657,0.7196652719665272,0.006756756756756757
3,5565,11,3,0,0,0.48385728825059365,0.4621687587168759,0.0,0.0,0.9838572882505937,0.9621687587168759,0.9302649930264993,0.0,0.0,0.8889799841682686,0.7093249582789332,0.7754155829469637,0.49685878346966206,0.0,0.9497907949790795,0.060810810810810814,0.9916317991631799,0.21621621621621623
4,6905,11,2,0,0,0.48416355686230167,0.35676994986618427,0.0,0.0,0.9841635568623016,0.856769949866184,0.9239558596253157,0.0,0.0,0.891232236420521,0.7081247279992049,0.7129085152097704,0.3575803837310113,0.0,0.9497907949790795,0.05855855855855856,0.7196652719665272,0.006756756756756757
