Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse',356,0.7873787715517242,0.5747575163841248,0.7974137931034483,0.22265625,0.5196629213483146,0.7974137931034483,185,171,597,47
age >= 29.0 AND marital-status = 'Married-civ-spouse',396,0.7781743893678161,0.5563488006591797,0.8232758620689655,0.2669270833333333,0.4823232323232323,0.8232758620689655,191,205,563,41
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0,311,0.7745824353448276,0.549164891242981,0.7327586206896551,0.18359375,0.5466237942122186,0.7327586206896551,170,141,627,62
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse',365,0.7731007543103448,0.5462015271186829,0.7844827586206896,0.23828125,0.4986301369863014,0.7844827586206896,182,183,585,50
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0,315,0.7719782686781609,0.5439565181732178,0.7327586206896551,0.18880208333333334,0.5396825396825397,0.7327586206896551,170,145,623,62
education-num >= 9.0 AND marital-status = 'Married-civ-spouse',398,0.7712598778735632,0.542519748210907,0.8146551724137931,0.2721354166666667,0.4748743718592965,0.8146551724137931,189,209,559,43
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0,341,0.7662760416666667,0.5325520634651184,0.75,0.21744791666666666,0.5102639296187683,0.75,174,167,601,58
age >= 24.0 AND marital-status = 'Married-civ-spouse',432,0.7659617456896552,0.5319234728813171,0.8405172413793104,0.30859375,0.4513888888888889,0.8405172413793104,195,237,531,37
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0,346,0.7658270474137931,0.5316541194915771,0.7543103448275862,0.22265625,0.5057803468208093,0.7543103448275862,175,171,597,57
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 81973.0,305,0.7644576149425287,0.5289152264595032,0.7112068965517241,0.18229166666666666,0.5409836065573771,0.7112068965517241,165,140,628,67
age >= 24.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 58.0,349,0.7638739224137931,0.5277478694915771,0.7543103448275862,0.2265625,0.501432664756447,0.7543103448275862,175,174,594,57
hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse',414,0.7636494252873562,0.5272988677024841,0.8189655172413793,0.2916666666666667,0.45893719806763283,0.8189655172413793,190,224,544,42
age >= 29.0 AND fnlwgt >= 80145.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 38.0,305,0.761651400862069,0.5233027935028076,0.7068965517241379,0.18359375,0.5377049180327869,0.7068965517241379,164,141,627,68
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 82465.0 AND hours-per-week >= 38.0,302,0.7607983117816092,0.5215966105461121,0.7025862068965517,0.18098958333333334,0.5397350993377483,0.7025862068965517,163,139,629,69
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0 AND age >= 30.0,304,0.7594962284482758,0.5189924836158752,0.7025862068965517,0.18359375,0.5361842105263158,0.7025862068965517,163,141,627,69
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND race = 'White',313,0.7592492816091954,0.5184985399246216,0.7112068965517241,0.19270833333333334,0.5271565495207667,0.7112068965517241,165,148,620,67
marital-status = 'Married-civ-spouse',443,0.7588002873563218,0.5176005959510803,0.8405172413793104,0.3229166666666667,0.4401805869074492,0.8405172413793104,195,248,520,37
hours-per-week >= 26.0 AND age >= 30.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85815.0,319,0.7581492456896552,0.5162984728813171,0.7155172413793104,0.19921875,0.5203761755485894,0.7155172413793104,166,153,615,66
