fpr,tpr,quality,coverage
0.2825520833333333,0.8318965517241379,0.5493444683908046,410
0.265625,0.7672413793103449,0.5016163793103449,382
0.13932291666666666,0.6206896551724138,0.4813667385057472,251
0.2265625,0.6982758620689655,0.4717133620689655,336
0.19010416666666666,0.646551724137931,0.4564475574712644,296
0.4466145833333333,0.9008620689655172,0.4542474856321839,552
0.11067708333333333,0.5387931034482759,0.4281160201149426,210
0.3216145833333333,0.7456896551724138,0.4240750718390805,420
0.5182291666666666,0.9224137931034483,0.40418462643678166,612
0.24088541666666666,0.6379310344827587,0.39704561781609204,333
0.4283854166666667,0.8189655172413793,0.39058010057471265,519
0.19401041666666666,0.5818965517241379,0.38788613505747127,284
0.5794270833333334,0.9568965517241379,0.37746946839080453,667
0.3059895833333333,0.6810344827586207,0.37504489942528735,393
0.5052083333333334,0.8706896551724138,0.36548132183908044,590
0.640625,0.9827586206896551,0.34213362068965514,720
0.032552083333333336,0.2543103448275862,0.22175826149425285,84
0.016927083333333332,0.16810344827586207,0.15117636494252873,52
0.9713541666666666,1.0,0.02864583333333337,978
