fpr,tpr,quality,coverage
0.3229166666666667,0.8405172413793104,0.5176005747126438,443
0.2708333333333333,0.7241379310344828,0.45330459770114945,376
0.5729166666666666,0.9310344827586207,0.35811781609195403,656
0.4505208333333333,0.7758620689655172,0.3253412356321839,526
0.6822916666666666,0.9913793103448276,0.309087643678161,754
0.4908854166666667,0.7543103448275862,0.2634249281609195,552
0.20703125,0.4396551724137931,0.2326239224137931,261
0.07291666666666667,0.29310344827586204,0.22018678160919536,124
0.7044270833333334,0.9224137931034483,0.21798670977011492,755
0.671875,0.8836206896551724,0.21174568965517238,721
0.625,0.8232758620689655,0.19827586206896552,671
0.625,0.8232758620689655,0.19827586206896552,671
0.046875,0.1939655172413793,0.1470905172413793,81
0.9739583333333334,1.0,0.02604166666666663,980
