depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,1137,8,7,1129,8,0.11117679255610288,0.11006568144499176,-4.163336342344337e-17,-3.7447890397120445e-14,0.6111767925561029,0.6100656814449918,0.5612972085385879,0.0,0.0,0.13899288451012592,0.09621647509578543,0.13899288451012592,0.09431542732035343,0.0,0.8078817733990148,0.6688888888888889,0.8078817733990148,0.6688888888888889
2,2875,9,9,2866,9,0.12460317460317459,0.12460317460317459,0.0,0.0,0.6246031746031746,0.6246031746031746,0.5635358511220578,0.0,0.0,0.16135741652983032,0.1146785866326096,0.16135741652983032,0.1146785866326096,0.0,0.6502463054187192,0.4888888888888889,0.6502463054187192,0.4888888888888889
3,3956,11,11,3945,11,0.13259441707717567,0.13259441707717567,0.0,0.0,0.6325944170771757,0.6325944170771757,0.5748987411056374,0.0,0.0,0.1724685276409414,0.12232472508334577,0.1724685276409414,0.12232472508334578,0.0,0.6502463054187192,0.4777777777777778,0.6502463054187192,0.4777777777777778
4,7470,11,11,7459,11,0.13680897646414886,0.13680897646414886,0.0,0.0,0.6368089764641489,0.6368089764641489,0.5759879584017514,0.0,0.0,0.1791351943076081,0.12575906851768923,0.1791351943076081,0.12575906851768917,0.0,0.6502463054187192,0.4711111111111111,0.6502463054187192,0.4711111111111111
