depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,48,4,2,0,0,0.29471472556980655,0.26118796031525743,0.0,0.0,0.7947147255698066,0.7611879603152574,0.7014801092169557,0.0,0.0,0.5206589164800124,0.2492980293181686,0.45294053098030607,0.4079401759606509,0.0,0.8416289592760181,0.3209700427960057,0.7239819004524887,0.2710413694721826
2,894,6,4,0,0,0.319324042576539,0.2765312643218157,0.0,0.0,0.8193240425765389,0.7765312643218157,0.6834451107338577,0.0,0.0,0.5206589164800124,0.3976650464860585,0.5206589164800124,0.4933579049967402,0.0,0.8416289592760181,0.3209700427960057,0.8416289592760181,0.3209700427960057
3,4014,4,2,0,0,0.315131583194015,0.28439010850691643,0.0,0.0,0.8151315831940151,0.7843901085069165,0.767397576829481,0.0,0.0,0.5544051484304904,0.41770805765519203,0.5544051484304904,0.5404399661763092,0.0,0.832579185520362,0.2781740370898716,0.832579185520362,0.2781740370898716
4,886,6,2,0,0,0.3209345408304878,0.2910902976355691,-5.551115123125783e-17,-1.7296720723051708e-14,0.8209345408304878,0.791090297635569,0.7729713854157927,0.0,0.0,0.5745767197474843,0.43425896639792755,0.5745767197474843,0.5672213579824555,0.0,0.8099547511312217,0.23537803138373753,0.8099547511312217,0.23537803138373753
