depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,86,2,2,0,0,0.16793650793650794,0.16793650793650788,5.551115123125783e-17,3.305484430594747e-14,0.6679365079365079,0.6679365079365079,0.6072486772486775,0.0,0.0,0.23809523809523814,0.2377777777777778,0.23809523809523814,0.2377777777777778,0.0,1.0,0.7619047619047619,1.0,0.7619047619047619
2,5632,4,1,0,0,0.39435626102292765,0.34412698412698406,-5.551115123125783e-17,-1.4076396577872625e-14,0.8943562610229276,0.8441269841269841,0.7385537918871253,0.0,0.0,0.6882539682539682,0.4692063492063492,0.6882539682539682,0.6882539682539682,0.0,0.9422222222222222,0.25396825396825395,0.9422222222222222,0.25396825396825395
3,2038,5,1,0,0,0.42832451499118174,0.37984126984126976,0.0,0.0,0.9283245149911816,0.8798412698412698,0.8362433862433863,0.0,0.0,0.7596825396825396,0.5490793650793651,0.7596825396825396,0.7596825396825396,0.0,0.9422222222222222,0.18253968253968253,0.9422222222222222,0.18253968253968253
4,2178,6,2,0,0,0.4498059964726631,0.39878306878306874,0.0,0.0,0.9498059964726632,0.8987830687830687,0.8607407407407408,0.0,0.0,0.7914285714285714,0.6466666666666666,0.7914285714285714,0.790952380952381,0.0,0.9422222222222222,0.15079365079365079,0.9422222222222222,0.15079365079365079
