alpha,adaptive_width,total_candidates,auc_approx,best_quality,best_tpr,best_fpr,best_precision,search_time
pure_roc,18,4173,0.7823826337294493,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,12.080199241638184
hull_removal,44,9385,0.8615132874174579,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,29.434406757354736
closest_to_hull,38,5078,0.8615132874174579,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,17.248050212860107
furthest_diagonal,37,5106,0.8615132874174579,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,17.611112356185913
below_hull,25,3930,0.8592185694644366,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,11.949440002441406
above_diagonal,14,3809,0.8615132874174579,0.5824000619670671,0.7963800904977375,0.21398002853067047,0.5398773006134969,11.75768494606018
