fpr,tpr,quality,coverage
0.06332992849846783,0.9771863117870723,0.9138563832886044,4360
0.07967313585291114,0.9182509505703422,0.8385778147174311,4176
0.028600612870275793,0.8098859315589354,0.7812853186886596,3520
0.08580183861082738,0.8650190114068441,0.7792171727960168,3976
0.23493360572012256,0.9657794676806084,0.7308458619604858,4984
0.026557711950970377,0.7557034220532319,0.7291457101022616,3284
0.08375893769152196,0.811787072243346,0.728028134551824,3744
0.14606741573033707,0.8288973384030418,0.6828299226727047,4060
0.08580183861082738,0.7604562737642585,0.6746544351534312,3536
0.012257405515832482,0.6844106463878327,0.6721532408720002,2928
0.1961184882533197,0.8650190114068441,0.6689005231535244,4408
0.30132788559754853,0.9657794676806084,0.6644515820830599,5244
0.06332992849846783,0.6958174904942965,0.6324875619958287,3176
0.0,0.6273764258555133,0.6273764258555133,2640
0.24821246169560776,0.8650190114068441,0.6168065497112364,4612
0.14402451481103168,0.7604562737642585,0.6164317589532269,3764
0.1961184882533197,0.8079847908745247,0.611866302621205,4168
0.36567926455566907,0.9657794676806084,0.6001002031249394,5496
0.05720122574055159,0.6311787072243346,0.573977481483783,2880
0.31562819203268644,0.8783269961977186,0.5626988041650322,4932
