fpr,tpr,quality,coverage
0.027522935779816515,0.9424860853432282,0.9149631495634116,2128
0.08256880733944955,0.9424860853432282,0.8599172780037787,2320
0.027522935779816515,0.8831168831168831,0.8555939473370666,2000
0.0,0.8320964749536178,0.8320964749536178,1794
0.08256880733944955,0.87569573283859,0.7931269254991404,2176
0.13761467889908258,0.9294990723562152,0.7918843934571327,2484
0.0,0.7736549165120594,0.7736549165120594,1668
0.05504587155963303,0.8237476808905381,0.768701809330905,1968
0.13761467889908258,0.8794063079777366,0.7417916290786539,2376
0.1926605504587156,0.9294990723562152,0.7368385218974995,2676
0.5412844036697247,0.9962894248608535,0.45500502119112873,4036
0.6697247706422018,1.0,0.3302752293577982,4492
