data_size,num_subgroups,adaptive_width,auc,best_quality,total_candidates,search_time,curve
699,9,9,0.9711129029335557,0.8716048487923318,1059,5.670029163360596,first_curve
0,0,0,0.0,0.0,0,0.0,second_curve
