rank,conditions,coverage,coverage_ratio,tpr,fpr,precision,roc_quality,keep_reason
2652,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A9 != 0.165,149,0.22817764165390506,0.18719211822660098,0.24666666666666667,0.2550335570469799,-0.059474548440065694,FINAL_SELECTION
2653,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A9 >= 1.0,74,0.11332312404287902,0.09852216748768473,0.12,0.2702702702702703,-0.021477832512315262,FINAL_SELECTION
2654,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A9 <= 1.0,86,0.13169984686064318,0.11822660098522167,0.13777777777777778,0.27906976744186046,-0.019551176792556108,FINAL_SELECTION
2655,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A9 != 1.0,148,0.22664624808575803,0.17733990147783252,0.24888888888888888,0.24324324324324326,-0.07154898741105636,FINAL_SELECTION
2656,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 >= 0.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2657,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 <= 0.0,64,0.09800918836140889,0.07389162561576355,0.10888888888888888,0.234375,-0.03499726327312533,FINAL_SELECTION
2658,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 == 0.0,64,0.09800918836140889,0.07389162561576355,0.10888888888888888,0.234375,-0.03499726327312533,FINAL_SELECTION
2659,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 != 0.0,90,0.13782542113323124,0.12315270935960591,0.14444444444444443,0.2777777777777778,-0.021291735084838517,FINAL_SELECTION
2660,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 >= 1.0,90,0.13782542113323124,0.12315270935960591,0.14444444444444443,0.2777777777777778,-0.021291735084838517,FINAL_SELECTION
2661,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 <= 1.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2662,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 == 1.0,90,0.13782542113323124,0.12315270935960591,0.14444444444444443,0.2777777777777778,-0.021291735084838517,FINAL_SELECTION
2663,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A8 != 1.0,64,0.09800918836140889,0.07389162561576355,0.10888888888888888,0.234375,-0.03499726327312533,FINAL_SELECTION
2664,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A7 >= 0.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
2665,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A7 != 0.0,110,0.16845329249617153,0.1477832512315271,0.17777777777777778,0.2727272727272727,-0.029994526546250677,FINAL_SELECTION
2666,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A7 >= 1.0,110,0.16845329249617153,0.1477832512315271,0.17777777777777778,0.2727272727272727,-0.029994526546250677,FINAL_SELECTION
2667,A15 >= 0 AND A14 >= 0.0 AND A13 != 0.0 AND A7 <= 1.0,154,0.23583460949464014,0.19704433497536947,0.25333333333333335,0.2597402597402597,-0.05628899835796389,FINAL_SELECTION
