depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,51,5,4,46,5,0.0819704433497537,0.07608648056923917,0.0058839627805145345,7.178151709401745,0.5819704433497537,0.5760864805692392,0.5570498084291187,0.005883962780514507,1.0110415138348103,0.09627805145046531,0.06949972632731252,0.09016967706622875,0.06284893267651886,0.006108374384236559,0.5073891625615764,0.4111111111111111,0.5812807881773399,0.4911111111111111
2,1137,8,7,1129,8,0.11117679255610288,0.11006568144499176,0.0011111111111111183,0.9994092162268675,0.6111767925561029,0.6100656814449918,0.5612972085385879,0.0011111111111110628,0.18179864233131338,0.13899288451012592,0.09621647509578543,0.13899288451012592,0.09431542732035343,0.0,0.8078817733990148,0.6688888888888889,0.8078817733990148,0.6688888888888889
3,1275,10,11,1265,10,0.12436234263820475,0.1242036124794746,0.00015873015873014984,0.12763522732273389,0.6243623426382047,0.6242036124794745,0.569989053092501,0.00015873015873013596,0.0254227630160127,0.16135741652983032,0.11424849480021892,0.16135741652983032,0.11200079613872717,0.0,0.6502463054187192,0.4888888888888889,0.6502463054187192,0.4888888888888889
4,1194,10,9,1184,10,0.1324028461959496,0.1312205801860974,0.0011822660098522175,0.892930963207938,0.6324028461959497,0.6312205801860974,0.5759222769567597,0.001182266009852273,0.18694824303272484,0.1724685276409414,0.12226382047071702,0.16953475643130816,0.12321839080459769,0.002933771209633229,0.6502463054187192,0.4777777777777778,0.43842364532019706,0.2688888888888889
