fpr,tpr,quality,coverage
0.2296718972895863,0.8099547511312217,0.5802828538416354,340
0.20399429386590584,0.7420814479638009,0.5380871540978951,307
0.30385164051355207,0.8371040723981901,0.533252431884638,398
0.181169757489301,0.6877828054298643,0.5066130479405633,279
0.3723252496433666,0.8687782805429864,0.49645303089961984,453
0.11554921540656206,0.6063348416289592,0.4907856262223972,215
0.2810271041369472,0.7692307692307693,0.48820366509382207,367
0.43366619115549215,0.8959276018099548,0.46226141065446263,502
0.2553495007132668,0.7149321266968326,0.4595826259835658,337
0.17118402282453637,0.6289592760180995,0.45777525319356316,259
0.06276747503566334,0.4796380090497738,0.41687053401411045,150
0.536376604850214,0.9502262443438914,0.41384963949367737,586
0.6162624821683309,0.9773755656108597,0.3611130834425288,648
0.03851640513552068,0.34841628959276016,0.3098998844572395,104
0.6847360912981455,0.9909502262443439,0.3062141349461984,699
0.012838801711840228,0.20361990950226244,0.1907811077904222,54
0.9728958630527818,1.0,0.02710413694721825,903
