depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,81,4,3,77,4,0.45281782437745743,0.41016323126414866,0.0,0.0,0.9528178243774575,0.9101632312641487,0.6679354393967762,0.0,0.0,0.7346938775510204,0.4649729366308659,0.7346938775510204,0.5031233510918963,0.0,0.7346938775510204,0.0,0.7346938775510204,0.0
2,2382,6,5,2376,6,0.4737536382359449,0.4698558322411533,0.0,0.0,0.973753638235945,0.9698558322411533,0.7346726013174241,0.0,0.0,0.8599172780037787,0.644874129802046,0.8032203707170942,0.6018655001616994,0.0,0.9424860853432282,0.08256880733944955,0.9591836734693877,0.1559633027522936
3,10109,5,6,10104,5,0.48120883048799173,0.4779025037871696,0.0,0.0,0.9812088304879917,0.9779025037871696,0.8423814062739358,0.0,0.0,0.9149631495634116,0.6455277356981158,0.8736787458936869,0.6660567479702473,0.0,0.9424860853432282,0.027522935779816515,0.9424860853432282,0.06880733944954129
4,2020,5,5,2015,5,0.48679596943030756,0.48679596943030756,-1.1102230246251565e-16,-2.2806742338570296e-14,0.9867959694303077,0.9867959694303077,0.7679885235995981,0.0,0.0,0.9287246174533199,0.7243212881482867,0.9287246174533199,0.7243212881482867,0.0,0.9424860853432282,0.013761467889908258,0.9424860853432282,0.013761467889908258
