depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,51,5,0,0,0,0.0819704433497537,0.0,0.0,0.0,0.5819704433497537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,562,6,1,0,0,0.10130815544608644,0.06449370552818826,-4.163336342344337e-17,-4.109576691049277e-14,0.6013081554460865,0.5644937055281882,0.5546360153256704,0.0,0.0,0.13899288451012592,0.08683816821747854,0.12898741105637657,0.12898741105637657,0.0,0.8078817733990148,0.6688888888888889,0.6600985221674877,0.5311111111111111
3,408,3,1,0,0,0.09662287903667213,0.08067870826491513,1.3877787807814457e-17,1.4362838228560026e-14,0.5966228790366721,0.5806787082649151,0.565823754789272,0.0,0.0,0.16135741652983032,0.13323846013501187,0.16135741652983032,0.16135741652983032,0.0,0.6502463054187192,0.4888888888888889,0.6502463054187192,0.4888888888888889
4,376,3,1,0,0,0.10704433497536944,0.0862342638204707,0.0,0.0,0.6070443349753695,0.5862342638204707,0.5809250136836344,0.0,0.0,0.1724685276409414,0.1478927203065134,0.1724685276409414,0.1724685276409414,0.0,0.6502463054187192,0.4777777777777778,0.6502463054187192,0.4777777777777778
