dataset,algorithm,alpha,adaptive_width,auc_approx,best_quality,total_candidates,search_time,target_column,data_size
adult,Pure ROC,,18,0.8169366244612069,0.5742636494252873,4287,210.8629698753357,target,1000
mushroom,Pure ROC,,16,0.22006722930591857,0.9169207346675625,9972,25.545235872268677,poisonous,8124
ionosphere,Pure ROC,,7,0.7418165784832451,0.5419047619047619,7641,16.452003717422485,Attribute35,351
tic-tac-toe,Pure ROC,,6,0.20132607105739253,0.3418915277724316,1905,7.352388620376587,class,958
wisconsin,Pure ROC,,10,0.9779620938955227,0.8890720977006287,2034,8.003196477890015,Class,699
