algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,best_quality,avg_coverage,cumulative_candidates,final_auc,final_width
Pure ROC,pure_roc,0,1,0,1,0.0,1000.0,0,0.7737798581178161,18
Pure ROC,pure_roc,1,1,124,14,0.5176005747126438,540.7857142857143,124,0.7737798581178161,18
Pure ROC,pure_roc,2,14,1401,19,0.5493444683908046,446.63157894736844,1525,0.7737798581178161,18
Pure ROC,pure_roc,3,19,1660,16,0.569055316091954,368.875,3185,0.7737798581178161,18
Pure ROC,pure_roc,4,16,1156,13,0.5756555316091955,396.2307692307692,4341,0.7737798581178161,18
