strategy,alpha,width_used,num_subgroups,best_quality,mean_quality,median_quality,mean_coverage,median_coverage,AUC_env,AUC_hull,TPR@FPR<=0.05,TPR@FPR<=0.10,TPR@FPR<=0.20,max_TPR,min_FPR
ROC_BEAM,0.5,50,204,0.5563488006591797,0.3287386253987457,0.3250269442796707,262.1078431372549,198.0,0.7538922189295977,0.8527298850574714,0.4353448275862069,0.5646551724137931,0.6853448275862069,1.0,0.028645833333333332
WIDE_BEAM,0.5,200,770,0.5747575163841248,0.4607874663232209,0.45505568385124207,295.074025974026,300.0,0.797394149604885,0.8264244342672414,0.0,0.5732758620689655,0.7327586206896551,0.8405172413793104,0.0703125
BEAM,0.5,50,643,0.5563488006591797,0.444926421990847,0.44239404797554016,288.4447900466563,295.0,0.8003687365301724,0.8262953484195403,0.0,0.5646551724137931,0.7112068965517241,0.8577586206896551,0.055989583333333336
BEST_FIRST,0.5,50,830,0.5747575163841248,0.4767890531255538,0.4713541716337204,307.3771084337349,310.0,0.814629916487069,0.8255236395474138,0.0,0.5732758620689655,0.75,0.8405172413793104,0.08203125
