depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,37,6,4,0,0,0.4198801311772023,0.3606854762712503,-5.551115123125783e-17,-1.3220713987018931e-14,0.9198801311772022,0.8606854762712504,0.7859088167665574,0.0,0.0,0.6402710241622375,0.4978671139759005,0.5777356854762713,0.45544734064608544,0.0,0.6779279279279279,0.03765690376569038,0.9752252252252253,0.39748953974895396
2,1741,7,3,0,0,0.48527083568924567,0.4665743149006747,0.0,0.0,0.9852708356892458,0.9665743149006747,0.8897762825587091,0.0,0.0,0.8548852199479814,0.7481045001965504,0.8548852199479814,0.8530538907107944,0.0,0.8716216216216216,0.016736401673640166,0.8716216216216216,0.016736401673640166
3,597,7,3,0,0,0.48904971917524215,0.4479060650608768,-5.551115123125783e-17,-1.1350819570017258e-14,0.9890497191752422,0.9479060650608767,0.8782841418824682,0.0,0.0,0.8854366919220475,0.7798689304965455,0.8854366919220475,0.879537487278073,0.0,0.9481981981981982,0.06276150627615062,0.9481981981981982,0.06276150627615062
4,633,8,2,0,0,0.49050567303705384,0.4523210448942666,5.551115123125783e-17,1.1317127259212026e-14,0.9905056730370538,0.9523210448942666,0.9055844547476346,0.0,0.0,0.8973481850050887,0.8027217855931246,0.8973481850050887,0.894775528666742,0.0,0.9391891891891891,0.04184100418410042,0.9391891891891891,0.04184100418410042
