depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,55,3,2,0,0,0.15592592592592588,0.13977072310405642,-2.7755575615628914e-17,-1.780048792451261e-14,0.655925925925926,0.6397707231040564,0.5941622574955907,0.0,0.0,0.2577777777777777,0.24,0.2453968253968254,0.2180952380952381,0.0,0.6666666666666666,0.4088888888888889,0.6587301587301587,0.41333333333333333
2,6253,3,2,0,0,0.28396825396825387,0.2128924162257496,-5.551115123125783e-17,-1.9548365162488787e-14,0.783968253968254,0.7128924162257496,0.6250617283950617,0.0,0.0,0.5419047619047619,0.32380952380952377,0.42063492063492064,0.21476190476190474,0.0,0.5952380952380952,0.05333333333333334,0.42063492063492064,0.0
3,3635,3,2,0,0,0.2848677248677248,0.27365079365079364,0.0,0.0,0.7848677248677248,0.7736507936507937,0.6567548500881832,0.0,0.0,0.5419047619047619,0.32529100529100524,0.5419047619047619,0.2776190476190476,0.0,0.5952380952380952,0.05333333333333334,0.5952380952380952,0.05333333333333334
4,412,3,2,0,0,0.2857671957671958,0.2745502645502646,0.0,0.0,0.7857671957671958,0.7745502645502647,0.6588359788359788,0.0,0.0,0.5419047619047619,0.32677248677248677,0.5419047619047619,0.27984126984126984,0.0,0.5952380952380952,0.05333333333333334,0.5952380952380952,0.05333333333333334
