fpr,tpr,quality,coverage
0.23177083333333334,0.8060344827586207,0.5742636494252873,365
0.2825520833333333,0.8318965517241379,0.5493444683908046,410
0.20052083333333334,0.7327586206896551,0.5322377873563218,324
0.3606770833333333,0.8706896551724138,0.5100125718390804,479
0.11458333333333333,0.6120689655172413,0.497485632183908,230
0.2604166666666667,0.7543103448275862,0.4938936781609195,375
0.4153645833333333,0.9008620689655172,0.4854974856321839,528
0.1953125,0.6767241379310345,0.4814116379310345,307
0.3489583333333333,0.8103448275862069,0.46138649425287354,456
0.09635416666666667,0.5474137931034483,0.4510596264367816,201
0.4661458333333333,0.9137931034482759,0.4476472701149426,570
0.5260416666666666,0.9482758620689655,0.4222341954022989,624
0.06770833333333333,0.46551724137931033,0.397808908045977,160
0.6171875,0.978448275862069,0.36126077586206895,701
0.05078125,0.40086206896551724,0.35008081896551724,132
0.6796875,0.9913793103448276,0.3116918103448276,752
0.015625,0.1939655172413793,0.1783405172413793,57
0.9713541666666666,1.0,0.02864583333333337,978
