alpha,depth,width,num_subgroups,best_quality,mean_quality,median_quality,mean_coverage,median_coverage,mean_tpr,mean_fpr,mean_precision,AUC,max_TPR,min_FPR,TPR@FPR<=0.05,TPR@FPR<=0.10,TPR@FPR<=0.20
0.0,4,50,50,0.91796875,0.8723958333333333,0.873046875,236.28,233.5,0.5960344827586206,0.12760416666666666,0.5909358873967444,0.7639412715517242,0.6551724137931034,0.08203125,0.0,0.5689655172413793,0.6551724137931034
0.3,4,50,50,0.8110632183908045,0.7916768139367815,0.7900278376436781,248.1,233.5,0.6213793103448275,0.13533854166666667,0.5892133768484454,0.814141635237069,0.7974137931034483,0.08203125,0.0,0.5689655172413793,0.7327586206896551
0.5,4,50,50,0.7873787715517242,0.7573388110632187,0.7549838362068966,327.4,312.0,0.7226724137931035,0.20799479166666668,0.5143531901514012,0.801581021012931,0.8405172413793104,0.17708333333333334,0.0,0.0,0.7327586206896551
0.7,4,50,50,0.7962149784482758,0.7452160560344829,0.7376010237068966,336.72,332.0,0.7294827586206897,0.21807291666666667,0.5049825809627587,0.801581021012931,0.8405172413793104,0.17708333333333334,0.0,0.0,0.7327586206896551
1.0,4,50,50,0.8405172413793104,0.7326724137931037,0.7176724137931034,345.1,342.5,0.7326724137931037,0.2280208333333333,0.49451283285854536,0.8012667250359196,0.8405172413793104,0.18098958333333334,0.0,0.0,0.7327586206896551
