fpr,tpr,quality,coverage
0.2282453637660485,0.8099547511312217,0.5817093873651732,339
0.40228245363766046,0.8959276018099548,0.4936451481722943,480
0.11412268188302425,0.6063348416289592,0.49221215974593496,214
0.06276747503566334,0.4796380090497738,0.41687053401411045,150
0.5592011412268189,0.9592760180995475,0.4000748768727287,604
0.6148359486447932,0.9773755656108597,0.3625396169660665,647
0.03851640513552068,0.34841628959276016,0.3098998844572395,104
0.6833095577746077,0.9909502262443439,0.30764066846973626,698
0.012838801711840228,0.20361990950226244,0.1907811077904222,54
0.9728958630527818,1.0,0.02710413694721825,903
