fpr,tpr,quality,coverage
0.013761467889908258,0.9424860853432282,0.9287246174533199,2080
0.06880733944954129,0.9424860853432282,0.8736787458936869,2272
0.01834862385321101,0.8905380333951762,0.8721894095419652,1984
0.11926605504587157,0.9591836734693877,0.8399176184235162,2484
0.013761467889908258,0.8385899814471243,0.824828513557216,1856
0.07339449541284404,0.8766233766233766,0.8032288812105326,2146
0.1743119266055046,0.9591836734693877,0.7848717468638831,2676
0.0,0.7792207792207793,0.7792207792207793,1680
0.12844036697247707,0.9072356215213359,0.7787952545488588,2404
0.07339449541284404,0.8256029684601113,0.7522084730472672,2036
0.22935779816513763,0.9591836734693877,0.7298258753042501,2868
0.12844036697247707,0.8552875695732839,0.7268472026008068,2292
0.0,0.7198515769944341,0.7198515769944341,1552
0.05504587155963303,0.7717996289424861,0.7167537573828531,1856
0.18807339449541285,0.8942486085343229,0.70617521403891,2584
0.3761467889908257,0.9962894248608535,0.6201426358700277,3460
0.5,1.0,0.5,3900
