Conditions,Coverage,Quality,Original_Quality,TPR,FPR,Precision,Recall,TP,FP,TN,FN
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND fnlwgt >= 115076.0,254,0.8515625,0.4550107717514038,0.603448275862069,0.1484375,0.5511811023622047,0.603448275862069,140,114,654,92
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0 AND age >= 34.0,260,0.84765625,0.4640355706214905,0.6163793103448276,0.15234375,0.55,0.6163793103448276,143,117,651,89
age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 114937.0 AND hours-per-week >= 37.0,259,0.84765625,0.45972520112991333,0.6120689655172413,0.15234375,0.5482625482625483,0.6120689655172413,142,117,651,90
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 113000.0 AND age >= 31.0,258,0.84765625,0.45541486144065857,0.6077586206896551,0.15234375,0.5465116279069767,0.6077586206896551,141,117,651,91
age >= 29.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 114060.0,261,0.8463541666666666,0.4627334773540497,0.6163793103448276,0.15364583333333334,0.5478927203065134,0.6163793103448276,143,118,650,89
education-num >= 9.0 AND marital-status = 'Married-civ-spouse' AND age >= 31.0 AND age <= 52.0,259,0.8463541666666666,0.45411279797554016,0.6077586206896551,0.15364583333333334,0.5444015444015444,0.6077586206896551,141,118,650,91
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 114117.0,267,0.8450520833333334,0.4829831123352051,0.6379310344827587,0.15494791666666666,0.5543071161048689,0.6379310344827587,148,119,649,84
education-num >= 9.0 AND age >= 29.0 AND relationship = 'Husband' AND fnlwgt >= 82465.0,267,0.84375,0.4773706793785095,0.6336206896551724,0.15625,0.550561797752809,0.6336206896551724,147,120,648,85
age >= 29.0 AND relationship = 'Husband' AND fnlwgt >= 81973.0 AND hours-per-week >= 40.0,262,0.84375,0.45581895112991333,0.6120689655172413,0.15625,0.5419847328244275,0.6120689655172413,142,120,648,90
education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 51.0,269,0.8411458333333334,0.4747665226459503,0.6336206896551724,0.15885416666666666,0.5464684014869888,0.6336206896551724,147,122,646,85
