FPR,TPR,Coverage,Quality,Conditions
0.15625,0.6336206896551724,267,0.84375,education-num >= 9.0 AND age >= 29.0 AND relationship = 'Husband' AND fnlwgt >= 82465.0
0.15625,0.6120689655172413,262,0.84375,age >= 29.0 AND relationship = 'Husband' AND fnlwgt >= 81973.0 AND hours-per-week >= 40.0
0.15885416666666666,0.6336206896551724,269,0.8411458333333334,education-num >= 9.0 AND age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 51.0
0.15885416666666666,0.6336206896551724,269,0.8411458333333334,fnlwgt >= 83082.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 36.0
0.15885416666666666,0.6336206896551724,269,0.8411458333333334,age >= 33.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 83311.0 AND hours-per-week >= 36.0
0.15885416666666666,0.6163793103448276,265,0.8411458333333334,age >= 29.0 AND marital-status = 'Married-civ-spouse' AND age <= 52.0 AND fnlwgt >= 86551.0
0.16015625,0.6379310344827587,271,0.83984375,age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 81973.0
0.16015625,0.6336206896551724,270,0.83984375,age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0 AND fnlwgt >= 81973.0
0.16015625,0.6293103448275862,269,0.83984375,age >= 29.0 AND hours-per-week >= 36.0 AND relationship = 'Husband' AND fnlwgt >= 80945.0
0.16145833333333334,0.6379310344827587,272,0.8385416666666666,age >= 33.0 AND fnlwgt >= 80945.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 36.0
0.16145833333333334,0.6206896551724138,268,0.8385416666666666,hours-per-week >= 26.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 114937.0 AND age >= 31.0
0.16145833333333334,0.6206896551724138,268,0.8385416666666666,age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND race = 'White'
0.16145833333333334,0.6206896551724138,268,0.8385416666666666,age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 37.0 AND race = 'White'
0.16276041666666666,0.6551724137931034,277,0.8372395833333334,education-num >= 9.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND fnlwgt >= 85815.0
0.16276041666666666,0.6551724137931034,277,0.8372395833333334,education-num >= 9.0 AND age >= 33.0 AND marital-status = 'Married-civ-spouse' AND hours-per-week >= 40.0
0.1640625,0.6293103448275862,272,0.8359375,age >= 33.0 AND hours-per-week >= 36.0 AND marital-status = 'Married-civ-spouse' AND age <= 57.0
