depth,Pure ROC_subgroups,Pure ROC_candidates,Pure ROC_quality,Pure ROC_coverage,Pure ROC_auc,Pure ROC_width
0,1,0,0.0,351.0,0.742,8
1,21,265,0.537,136.1,0.742,8
2,10,4490,0.542,116.5,0.742,8
3,6,1851,0.542,124.5,0.742,8
