alpha,adaptive_width,total_candidates,auc_approx,best_quality,best_tpr,best_fpr,best_precision,search_time
pure_roc,10,2034,0.9779620938955227,0.8890720977006287,0.950207468879668,0.0611353711790393,0.8910505836575876,13.303471803665161
hull_removal,10,2176,0.3182744749859572,0.8716048487923318,0.950207468879668,0.07860262008733625,0.8641509433962264,17.4837908744812
closest_to_hull,20964,41866,0.5026454547101775,0.8622098606606389,0.921161825726141,0.05895196506550218,0.891566265060241,171.50248956680298
furthest_diagonal,84,3679,0.5118818967547881,0.8716048487923318,0.950207468879668,0.07860262008733625,0.8641509433962264,13.330132246017456
below_hull,23872,110734,0.5107992534744239,0.8855840837848121,0.975103734439834,0.08951965065502183,0.8514492753623188,189.53885078430176
above_diagonal,4,1464,0.3474786642265669,0.8868886915870916,0.950207468879668,0.06331877729257641,0.8875968992248062,11.346299886703491
