depth,Pure ROC_subgroups,Pure ROC_candidates,Pure ROC_quality,Pure ROC_coverage,Pure ROC_auc,Pure ROC_width,Hull Removal_subgroups,Hull Removal_candidates,Hull Removal_quality,Hull Removal_coverage,Hull Removal_auc,Hull Removal_width,Closest to Hull (n=10)_subgroups,Closest to Hull (n=10)_candidates,Closest to Hull (n=10)_quality,Closest to Hull (n=10)_coverage,Closest to Hull (n=10)_auc,Closest to Hull (n=10)_width,Furthest from Diagonal (n=10)_subgroups,Furthest from Diagonal (n=10)_candidates,Furthest from Diagonal (n=10)_quality,Furthest from Diagonal (n=10)_coverage,Furthest from Diagonal (n=10)_auc,Furthest from Diagonal (n=10)_width,Below Hull Threshold (1.0%)_subgroups,Below Hull Threshold (1.0%)_candidates,Below Hull Threshold (1.0%)_quality,Below Hull Threshold (1.0%)_coverage,Below Hull Threshold (1.0%)_auc,Below Hull Threshold (1.0%)_width,Above Diagonal Threshold (1.0%)_subgroups,Above Diagonal Threshold (1.0%)_candidates,Above Diagonal Threshold (1.0%)_quality,Above Diagonal Threshold (1.0%)_coverage,Above Diagonal Threshold (1.0%)_auc,Above Diagonal Threshold (1.0%)_width
0,1,0,0.0,683.0,0.979,8,1,0,0.0,683.0,0.329,10,1,0,0.0,683.0,0.506,20964,1,0,0.0,683.0,0.518,88,1,0,0.0,683.0,0.503,22978,1,0,0.0,683.0,0.386,4
1,10,101,0.814,287.4,0.979,8,10,101,0.105,491.9,0.329,10,13,101,0.809,121.6,0.506,20964,11,101,0.809,258.5,0.518,88,4,101,0.325,586.0,0.503,22978,10,101,0.105,491.9,0.386,4
2,9,738,0.873,288.7,0.979,8,10,848,0.538,368.3,0.329,10,50,687,0.28,67.0,0.506,20964,13,816,0.873,250.9,0.518,88,84,358,0.819,553.3,0.503,22978,12,848,0.814,290.5,0.386,4
3,8,596,0.889,281.9,0.979,8,10,660,0.814,392.2,0.329,10,1100,2038,0.28,67.0,0.506,20964,36,822,0.873,246.3,0.518,88,1480,6598,0.862,543.6,0.503,22978,28,847,0.873,247.2,0.386,4
4,8,478,0.891,284.5,0.979,8,10,564,0.766,387.7,0.329,10,20964,39104,0.28,67.0,0.506,20964,88,1912,0.873,241.0,0.518,88,22978,102160,0.885,524.8,0.503,22978,4,1510,0.889,254.0,0.386,4
