depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,33,8,1,0,0,0.14728120978120982,0.07384643046407757,0.0,0.0,0.6472812097812097,0.5738464304640776,0.5756775683246271,0.0,0.0,0.20870239987887051,0.10973578620637445,0.14769286092815515,0.14769286092815515,0.0,0.6148648648648649,0.4061624649859944,0.847972972972973,0.7002801120448179
2,976,4,1,0,0,0.4211900976606859,0.37435649935649934,0.0,0.0,0.9211900976606858,0.8743564993564993,0.6544922022863197,0.0,0.0,0.7487129987129987,0.4530007949125596,0.7487129987129987,0.7487129987129987,0.0,0.9391891891891891,0.19047619047619047,0.9391891891891891,0.19047619047619047
3,3062,7,1,0,0,0.42587440381558034,0.37435649935649934,0.0,0.0,0.9258744038155803,0.8743564993564993,0.6880630630630631,0.0,0.0,0.7487129987129987,0.510301417864443,0.7487129987129987,0.7487129987129987,0.0,0.9391891891891891,0.19047619047619047,0.9391891891891891,0.19047619047619047
4,6246,8,1,0,0,0.4273364751305927,0.37435649935649934,0.0,0.0,0.9273364751305927,0.8743564993564993,0.881931826784768,0.0,0.0,0.7487129987129987,0.60393954879249,0.7487129987129987,0.7487129987129987,0.0,0.9391891891891891,0.19047619047619047,0.9391891891891891,0.19047619047619047
