depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,37,6,4,0,0,0.46724437840874095,0.43571635652032104,0.03152802188841991,6.7476514101234395,0.9672443784087409,0.935716356520321,0.8592835528819148,0.031528021888419855,3.259571478749567,0.8130968127706608,0.5462048596640635,0.7827375020384497,0.6850051640725507,0.030359310732211098,0.983402489626556,0.1703056768558952,0.9377593360995851,0.15502183406113537
2,699,6,2,0,0,0.46553661055645157,0.4345793545815289,0.03095725597492266,6.649800525445193,0.9655366105564516,0.934579354581529,0.8471842214934135,0.030957255974922604,3.206222906149724,0.8716048487923318,0.7064587145989237,0.8622098606606389,0.8609007229701571,0.009394988131692927,0.950207468879668,0.07860262008733625,0.921161825726141,0.05895196506550218
3,908,7,1,0,0,0.4535006976027831,0.4343800395006251,0.019120658102158017,4.216235653711302,0.9535006976027832,0.934380039500625,0.9252659044374785,0.01912065810215824,2.0053113909858586,0.8687600790012502,0.6888031517667859,0.8687600790012502,0.8687600790012502,0.0,0.921161825726141,0.05240174672489083,0.921161825726141,0.05240174672489083
4,1912,6,1,0,0,0.4491067060464947,0.43547174255739374,0.013634963489100982,3.0360186800883335,0.9491067060464948,0.9354717425573936,0.9382530939136421,0.013634963489101204,1.4366101727273282,0.8709434851147874,0.7150096335622437,0.8709434851147874,0.8709434851147874,0.0,0.921161825726141,0.05021834061135371,0.921161825726141,0.05021834061135371
