dataset,algorithm,alpha,adaptive_width,auc_approx,best_quality,best_tpr,best_fpr,total_candidates,search_time,target_column,data_size
mushroom,Pure ROC,,17,0.4711430443737128,0.9287246174533199,0.9424860853432282,0.013761467889908258,6849,58.98338317871094,poisonous,5644
mushroom,Hull Removal,N/A,50,0.9867959694303077,0.9287246174533199,0.9424860853432282,0.013761467889908258,27734,212.3645076751709,poisonous,5644
mushroom,Closest to Hull (n=10),N/A,2,0.9711451719970723,0.9287246174533199,0.9424860853432282,0.013761467889908258,18838,150.65396904945374,poisonous,5644
mushroom,Furthest from Diagonal (n=10),N/A,2,0.9711451719970723,0.9287246174533199,0.9424860853432282,0.013761467889908258,23615,192.68621730804443,poisonous,5644
mushroom,Below Hull Threshold (2.0%),N/A,3,0.981400316590356,0.9287246174533199,0.9424860853432282,0.013761467889908258,6100,45.64838743209839,poisonous,5644
mushroom,Above Diagonal Threshold (5.0%),N/A,4,0.9830683733042842,0.9287246174533199,0.9424860853432282,0.013761467889908258,5459,40.78436756134033,poisonous,5644
