depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,98,3,3,95,3,0.2766666666666666,0.24426807760141092,0.0,0.0,0.7766666666666667,0.7442680776014109,0.6568606701940034,0.0,0.0,0.5374603174603174,0.30317460317460315,0.47555555555555556,0.2706878306878307,0.0,0.5952380952380952,0.057777777777777775,0.5555555555555556,0.08
2,4242,3,3,4239,3,0.28396825396825387,0.28245149911816575,-5.551115123125783e-17,-1.9548365162488787e-14,0.783968253968254,0.7824514991181658,0.6382010582010581,0.0,0.0,0.5419047619047619,0.32380952380952377,0.5374603174603174,0.3196825396825396,0.0,0.5952380952380952,0.05333333333333334,0.5952380952380952,0.057777777777777775
3,10106,3,4,10103,3,0.2839682539682539,0.2837742504409171,0.0,0.0,0.783968253968254,0.7837742504409172,0.7365432098765432,0.0,0.0,0.5419047619047619,0.32380952380952377,0.5419047619047619,0.34690476190476194,0.0,0.5952380952380952,0.05333333333333334,0.5952380952380952,0.05333333333333334
4,10153,3,4,10150,3,0.2839682539682539,0.2837742504409171,0.0,0.0,0.783968253968254,0.7837742504409172,0.7796649029982364,0.0,0.0,0.5419047619047619,0.3238095238095238,0.5419047619047619,0.3469047619047619,0.0,0.5952380952380952,0.05333333333333334,0.5952380952380952,0.05333333333333334
