depth,total_points,original_hull_points,new_hull_points,remaining_points,subgroups_removed,original_hull_area,new_hull_area,hull_area_reduction,area_reduction_percentage,original_auc,new_auc,all_points_auc,auc_reduction,auc_reduction_percentage,original_max_quality,original_avg_quality,new_max_quality,new_avg_quality,quality_reduction,original_best_tpr,original_best_fpr,new_best_tpr,new_best_fpr
1,61,5,0,0,0,0.21064747834079423,0.0,0.0,0.0,0.7106474783407941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3130,6,3,0,0,0.4737536382359449,0.45654542050348085,0.0,0.0,0.973753638235945,0.9565454205034808,0.7244520306037345,0.0,0.0,0.8599172780037787,0.644874129802046,0.8599172780037787,0.8197874646105315,0.0,0.9424860853432282,0.08256880733944955,0.9424860853432282,0.08256880733944955
3,767,5,2,0,0,0.48375346802607616,0.46348998314922285,-5.551115123125783e-17,-1.147509111568076e-14,0.9837534680260762,0.963489983149223,0.7588822956205001,0.0,0.0,0.9149631495634116,0.6904818641384827,0.9149631495634116,0.8866146959200694,0.0,0.9424860853432282,0.027522935779816515,0.9424860853432282,0.027522935779816515
4,609,4,2,0,0,0.4875789348266413,0.47054092696294536,0.0,0.0,0.9875789348266413,0.9705409269629452,0.7932274557028818,0.0,0.0,0.9287246174533199,0.7367066092492043,0.9287246174533199,0.9133419005633947,0.0,0.9424860853432282,0.013761467889908258,0.9424860853432282,0.013761467889908258
