alpha,adaptive_width,total_candidates,auc_approx,best_quality,best_tpr,best_fpr,best_precision,search_time
pure_roc,12,1141,0.1985594133723392,0.3450479233226837,0.3450479233226837,0.0,1.0,5.75014853477478
hull_removal,38,2278,0.7365949420685939,0.3450479233226837,0.3450479233226837,0.0,1.0,16.276506900787354
closest_to_hull,16,1510,0.6325878594249201,0.26517571884984026,0.26517571884984026,0.0,1.0,16.47545599937439
furthest_diagonal,16,1510,0.6325878594249201,0.26517571884984026,0.26517571884984026,0.0,1.0,18.650509119033813
below_hull,16,1414,0.6325878594249201,0.26517571884984026,0.26517571884984026,0.0,1.0,17.978229522705078
above_diagonal,16,1414,0.6325878594249201,0.26517571884984026,0.26517571884984026,0.0,1.0,16.00715160369873
